Option #,Window Type,Window U-Value,Window SHGC,Airtightness,Wall R-Value,Roof R-Value,TEDI kWh/m²/yr,CEDI kWh/m²/yr,TEUI kWh/m²/yr,Overheating Hours in Worst Suite,Max Temp in Worst Suite (°C),Utility Cost ($)
1,Exist1,1,1,0.15,10,5.2,1,1,1,1,1,1
2,Exist1,1,1,0.15,10,30,1,1,1,1,1,1
3,Exist1,1,1,0.15,12,5.2,1,1,1,1,1,1
4,Exist1,1,1,0.15,12,30,1,1,1,1,1,1
5,Exist1,1,1,0.15,14,5.2,1,1,1,1,1,1
6,Exist1,1,1,0.15,14,30,1,1,1,1,1,1
7,Exist1,1,1,0.15,18,5.2,1,1,1,1,1,1
8,Exist1,1,1,0.15,18,30,1,1,1,1,1,1
9,Exist1,1,1,0.15,20,5.2,1,1,1,1,1,1
10,Exist1,1,1,0.15,20,30,1,1,1,1,1,1
11,Exist1,1,1,0.15,22,5.2,1,1,1,1,1,1
12,Exist1,1,1,0.15,22,30,1,1,1,1,1,1
13,Exist1,1,1,0.15,24,5.2,1,1,1,1,1,1
14,Exist1,1,1,0.15,24,30,1,1,1,1,1,1
15,Exist1,1,1,0.15,26,5.2,1,1,1,1,1,1
16,Exist1,1,1,0.15,26,30,1,1,1,1,1,1
17,Exist1,1,1,0.09,10,5.2,1,1,1,1,1,1
18,Exist1,1,1,0.09,10,30,1,1,1,1,1,1
19,Exist1,1,1,0.09,12,5.2,1,1,1,1,1,1
20,Exist1,1,1,0.09,12,30,1,1,1,1,1,1
21,Exist1,1,1,0.09,14,5.2,1,1,1,1,1,1
22,Exist1,1,1,0.09,14,30,1,1,1,1,1,1
23,Exist1,1,1,0.09,18,5.2,1,1,1,1,1,1
24,Exist1,1,1,0.09,18,30,1,1,1,1,1,1
25,Exist1,1,1,0.09,20,5.2,1,1,1,1,1,1
26,Exist1,1,1,0.09,20,30,1,1,1,1,1,1
27,Exist1,1,1,0.09,22,5.2,1,1,1,1,1,1
28,Exist1,1,1,0.09,22,30,1,1,1,1,1,1
29,Exist1,1,1,0.09,24,5.2,1,1,1,1,1,1
30,Exist1,1,1,0.09,24,30,1,1,1,1,1,1
31,Exist1,1,1,0.09,26,5.2,1,1,1,1,1,1
32,Exist1,1,1,0.09,26,30,1,1,1,1,1,1
33,Exist1,1,1,0.123,10,5.2,1,1,1,1,1,1
34,Exist1,1,1,0.123,10,30,1,1,1,1,1,1
35,Exist1,1,1,0.123,12,5.2,1,1,1,1,1,1
36,Exist1,1,1,0.123,12,30,1,1,1,1,1,1
37,Exist1,1,1,0.123,14,5.2,1,1,1,1,1,1
38,Exist1,1,1,0.123,14,30,1,1,1,1,1,1
39,Exist1,1,1,0.123,18,5.2,1,1,1,1,1,1
40,Exist1,1,1,0.123,18,30,1,1,1,1,1,1
41,Exist1,1,1,0.123,20,5.2,1,1,1,1,1,1
42,Exist1,1,1,0.123,20,30,1,1,1,1,1,1
43,Exist1,1,1,0.123,22,5.2,1,1,1,1,1,1
44,Exist1,1,1,0.123,22,30,1,1,1,1,1,1
45,Exist1,1,1,0.123,24,5.2,1,1,1,1,1,1
46,Exist1,1,1,0.123,24,30,1,1,1,1,1,1
47,Exist1,1,1,0.123,26,5.2,1,1,1,1,1,1
48,Exist1,1,1,0.123,26,30,1,1,1,1,1,1
49,Exist1,1,1,0.081,10,5.2,1,1,1,1,1,1
50,Exist1,1,1,0.081,10,30,1,1,1,1,1,1
51,Exist1,1,1,0.081,12,5.2,1,1,1,1,1,1
52,Exist1,1,1,0.081,12,30,1,1,1,1,1,1
53,Exist1,1,1,0.081,14,5.2,1,1,1,1,1,1
54,Exist1,1,1,0.081,14,30,1,1,1,1,1,1
55,Exist1,1,1,0.081,18,5.2,1,1,1,1,1,1
56,Exist1,1,1,0.081,18,30,1,1,1,1,1,1
57,Exist1,1,1,0.081,20,5.2,1,1,1,1,1,1
58,Exist1,1,1,0.081,20,30,1,1,1,1,1,1
59,Exist1,1,1,0.081,22,5.2,1,1,1,1,1,1
60,Exist1,1,1,0.081,22,30,1,1,1,1,1,1
61,Exist1,1,1,0.081,24,5.2,1,1,1,1,1,1
62,Exist1,1,1,0.081,24,30,1,1,1,1,1,1
63,Exist1,1,1,0.081,26,5.2,1,1,1,1,1,1
64,Exist1,1,1,0.081,26,30,1,1,1,1,1,1
65,Exist1,1,1,0.063,10,5.2,1,1,1,1,1,1
66,Exist1,1,1,0.063,10,30,1,1,1,1,1,1
67,Exist1,1,1,0.063,12,5.2,1,1,1,1,1,1
68,Exist1,1,1,0.063,12,30,1,1,1,1,1,1
69,Exist1,1,1,0.063,14,5.2,1,1,1,1,1,1
70,Exist1,1,1,0.063,14,30,1,1,1,1,1,1
71,Exist1,1,1,0.063,18,5.2,1,1,1,1,1,1
72,Exist1,1,1,0.063,18,30,1,1,1,1,1,1
73,Exist1,1,1,0.063,20,5.2,1,1,1,1,1,1
74,Exist1,1,1,0.063,20,30,1,1,1,1,1,1
75,Exist1,1,1,0.063,22,5.2,1,1,1,1,1,1
76,Exist1,1,1,0.063,22,30,1,1,1,1,1,1
77,Exist1,1,1,0.063,24,5.2,1,1,1,1,1,1
78,Exist1,1,1,0.063,24,30,1,1,1,1,1,1
79,Exist1,1,1,0.063,26,5.2,1,1,1,1,1,1
80,Exist1,1,1,0.063,26,30,1,1,1,1,1,1
81,Exist2,1,1,0.15,10,5.2,1,1,1,1,1,1
82,Exist2,1,1,0.15,10,30,1,1,1,1,1,1
83,Exist2,1,1,0.15,12,5.2,1,1,1,1,1,1
84,Exist2,1,1,0.15,12,30,1,1,1,1,1,1
85,Exist2,1,1,0.15,14,5.2,1,1,1,1,1,1
86,Exist2,1,1,0.15,14,30,1,1,1,1,1,1
87,Exist2,1,1,0.15,18,5.2,1,1,1,1,1,1
88,Exist2,1,1,0.15,18,30,1,1,1,1,1,1
89,Exist2,1,1,0.15,20,5.2,1,1,1,1,1,1
90,Exist2,1,1,0.15,20,30,1,1,1,1,1,1
91,Exist2,1,1,0.15,22,5.2,1,1,1,1,1,1
92,Exist2,1,1,0.15,22,30,1,1,1,1,1,1
93,Exist2,1,1,0.15,24,5.2,1,1,1,1,1,1
94,Exist2,1,1,0.15,24,30,1,1,1,1,1,1
95,Exist2,1,1,0.15,26,5.2,1,1,1,1,1,1
96,Exist2,1,1,0.15,26,30,1,1,1,1,1,1
97,Exist2,1,1,0.09,10,5.2,1,1,1,1,1,1
98,Exist2,1,1,0.09,10,30,1,1,1,1,1,1
99,Exist2,1,1,0.09,12,5.2,1,1,1,1,1,1
100,Exist2,1,1,0.09,12,30,1,1,1,1,1,1
101,Exist2,1,1,0.09,14,5.2,1,1,1,1,1,1
102,Exist2,1,1,0.09,14,30,1,1,1,1,1,1
103,Exist2,1,1,0.09,18,5.2,1,1,1,1,1,1
104,Exist2,1,1,0.09,18,30,1,1,1,1,1,1
105,Exist2,1,1,0.09,20,5.2,1,1,1,1,1,1
106,Exist2,1,1,0.09,20,30,1,1,1,1,1,1
107,Exist2,1,1,0.09,22,5.2,1,1,1,1,1,1
108,Exist2,1,1,0.09,22,30,1,1,1,1,1,1
109,Exist2,1,1,0.09,24,5.2,1,1,1,1,1,1
110,Exist2,1,1,0.09,24,30,1,1,1,1,1,1
111,Exist2,1,1,0.09,26,5.2,1,1,1,1,1,1
112,Exist2,1,1,0.09,26,30,1,1,1,1,1,1
113,Exist2,1,1,0.123,10,5.2,1,1,1,1,1,1
114,Exist2,1,1,0.123,10,30,1,1,1,1,1,1
115,Exist2,1,1,0.123,12,5.2,1,1,1,1,1,1
116,Exist2,1,1,0.123,12,30,1,1,1,1,1,1
117,Exist2,1,1,0.123,14,5.2,1,1,1,1,1,1
118,Exist2,1,1,0.123,14,30,1,1,1,1,1,1
119,Exist2,1,1,0.123,18,5.2,1,1,1,1,1,1
120,Exist2,1,1,0.123,18,30,1,1,1,1,1,1
121,Exist2,1,1,0.123,20,5.2,1,1,1,1,1,1
122,Exist2,1,1,0.123,20,30,1,1,1,1,1,1
123,Exist2,1,1,0.123,22,5.2,1,1,1,1,1,1
124,Exist2,1,1,0.123,22,30,1,1,1,1,1,1
125,Exist2,1,1,0.123,24,5.2,1,1,1,1,1,1
126,Exist2,1,1,0.123,24,30,1,1,1,1,1,1
127,Exist2,1,1,0.123,26,5.2,1,1,1,1,1,1
128,Exist2,1,1,0.123,26,30,1,1,1,1,1,1
129,Exist2,1,1,0.081,10,5.2,1,1,1,1,1,1
130,Exist2,1,1,0.081,10,30,1,1,1,1,1,1
131,Exist2,1,1,0.081,12,5.2,1,1,1,1,1,1
132,Exist2,1,1,0.081,12,30,1,1,1,1,1,1
133,Exist2,1,1,0.081,14,5.2,1,1,1,1,1,1
134,Exist2,1,1,0.081,14,30,1,1,1,1,1,1
135,Exist2,1,1,0.081,18,5.2,1,1,1,1,1,1
136,Exist2,1,1,0.081,18,30,1,1,1,1,1,1
137,Exist2,1,1,0.081,20,5.2,1,1,1,1,1,1
138,Exist2,1,1,0.081,20,30,1,1,1,1,1,1
139,Exist2,1,1,0.081,22,5.2,1,1,1,1,1,1
140,Exist2,1,1,0.081,22,30,1,1,1,1,1,1
141,Exist2,1,1,0.081,24,5.2,1,1,1,1,1,1
142,Exist2,1,1,0.081,24,30,1,1,1,1,1,1
143,Exist2,1,1,0.081,26,5.2,1,1,1,1,1,1
144,Exist2,1,1,0.081,26,30,1,1,1,1,1,1
145,Exist2,1,1,0.063,10,5.2,1,1,1,1,1,1
146,Exist2,1,1,0.063,10,30,1,1,1,1,1,1
147,Exist2,1,1,0.063,12,5.2,1,1,1,1,1,1
148,Exist2,1,1,0.063,12,30,1,1,1,1,1,1
149,Exist2,1,1,0.063,14,5.2,1,1,1,1,1,1
150,Exist2,1,1,0.063,14,30,1,1,1,1,1,1
151,Exist2,1,1,0.063,18,5.2,1,1,1,1,1,1
152,Exist2,1,1,0.063,18,30,1,1,1,1,1,1
153,Exist2,1,1,0.063,20,5.2,1,1,1,1,1,1
154,Exist2,1,1,0.063,20,30,1,1,1,1,1,1
155,Exist2,1,1,0.063,22,5.2,1,1,1,1,1,1
156,Exist2,1,1,0.063,22,30,1,1,1,1,1,1
157,Exist2,1,1,0.063,24,5.2,1,1,1,1,1,1
158,Exist2,1,1,0.063,24,30,1,1,1,1,1,1
159,Exist2,1,1,0.063,26,5.2,1,1,1,1,1,1
160,Exist2,1,1,0.063,26,30,1,1,1,1,1,1
161,Exist3,1,1,0.15,10,5.2,1,1,1,1,1,1
162,Exist3,1,1,0.15,10,30,1,1,1,1,1,1
163,Exist3,1,1,0.15,12,5.2,1,1,1,1,1,1
164,Exist3,1,1,0.15,12,30,1,1,1,1,1,1
165,Exist3,1,1,0.15,14,5.2,1,1,1,1,1,1
166,Exist3,1,1,0.15,14,30,1,1,1,1,1,1
167,Exist3,1,1,0.15,18,5.2,1,1,1,1,1,1
168,Exist3,1,1,0.15,18,30,1,1,1,1,1,1
169,Exist3,1,1,0.15,20,5.2,1,1,1,1,1,1
170,Exist3,1,1,0.15,20,30,1,1,1,1,1,1
171,Exist3,1,1,0.15,22,5.2,1,1,1,1,1,1
172,Exist3,1,1,0.15,22,30,1,1,1,1,1,1
173,Exist3,1,1,0.15,24,5.2,1,1,1,1,1,1
