Option #,Window Type,Window U-Value,Window SHGC,Airtightness,Wall R-Value,Roof R-Value,TEDI kWh/m²/yr,CEDI kWh/m²/yr,TEUI kWh/m²/yr,Overheating Hours in Worst Suite,Max Temp in Worst Suite (°C),Utility Cost ($)
1,Exist1,1.1475,0.7875,0.15,1,5.2,209.1842795,0.001302883,382.5221953,568,39.5,116985.6586
2,Exist2,0.7125,0.6975,0.15,1,5.2,192.0393047,0.001302883,361.3071444,571,39.33333333,111651.8226
3,Exist3,0.605,0.5975,0.15,1,5.2,191.6646534,0.001254628,360.8528046,559,38.16666667,111538.9978
4,Exist4,0.655,0.6975,0.15,1,5.2,189.7030907,0.001302883,358.3862396,572,39.5,110916.9839
5,Exist5,0.525,0.5975,0.15,1,5.2,187.4385836,0.001302883,355.6241505,562,38.38888889,110223.3322
6,Exist11,1.07,0.7875,0.15,1,5.2,205.5225993,0.001302883,378.0199767,569,39.66666667,115853.4081
7,Exist12,0.625,0.6975,0.15,1,5.2,188.0713022,0.001351138,356.34295,573,39.61111111,110403.1298
8,Exist13,0.5175,0.5975,0.15,1,5.2,187.0401427,0.001302883,355.1184388,562,38.44444444,110096.238
9,Exist14,0.565,0.6975,0.15,1,5.2,184.8880695,0.001351138,352.3894013,576,39.77777778,109409.0244
10,Exist15,0.43,0.5975,0.15,1,5.2,181.8462721,0.001302883,348.6519154,564,38.72222222,108470.1536
11,Exist21,0.9625,0.745,0.15,1,5.2,202.2439667,0.001302883,373.956912,566,39.33333333,114832.2889
12,Exist22,0.5575,0.6575,0.15,1,5.2,186.3646702,0.001302883,354.2472386,571,39.22222222,109876.441
13,Exist23,0.4525,0.5675,0.15,1,5.2,184.6786914,0.001254628,352.1724871,560,38.16666667,109356.1236
14,Exist24,0.5,0.6575,0.15,1,5.2,183.1946112,0.001351138,350.3139569,573,39.38888889,108887.429
15,Exist25,0.375,0.5675,0.15,1,5.2,179.9287179,0.001302883,346.2610486,564,38.44444444,107869.3719
