Option #,Window Type,Window U-Value,Window SHGC,Airtightness,Wall R-Value,Roof R-Value,TEDI kWh/m²/yr,CEDI kWh/m²/yr,TEUI kWh/m²/yr,Overheating Hours in Worst Suite,Max Temp in Worst Suite (°C),Utility Cost ($)
1,Exist1,0,0,0.15,10,5.2,0,0,0,0,0,0
2,Exist1,0,0,0.15,10,30,0,0,0,0,0,0
3,Exist1,0,0,0.15,12,5.2,0,0,0,0,0,0
4,Exist1,0,0,0.15,12,30,0,0,0,0,0,0
5,Exist1,0,0,0.15,14,5.2,0,0,0,0,0,0
6,Exist1,0,0,0.15,14,30,0,0,0,0,0,0
7,Exist1,0,0,0.15,18,5.2,0,0,0,0,0,0
8,Exist1,0,0,0.15,18,30,0,0,0,0,0,0
9,Exist1,0,0,0.15,20,5.2,0,0,0,0,0,0
10,Exist1,0,0,0.15,20,30,0,0,0,0,0,0
11,Exist1,0,0,0.15,22,5.2,0,0,0,0,0,0
12,Exist1,0,0,0.15,22,30,0,0,0,0,0,0
13,Exist1,0,0,0.15,24,5.2,0,0,0,0,0,0
14,Exist1,0,0,0.15,24,30,0,0,0,0,0,0
15,Exist1,0,0,0.15,26,5.2,0,0,0,0,0,0
16,Exist1,0,0,0.15,26,30,0,0,0,0,0,0
17,Exist1,0,0,0.09,10,5.2,0,0,0,0,0,0
18,Exist1,0,0,0.09,10,30,0,0,0,0,0,0
19,Exist1,0,0,0.09,12,5.2,0,0,0,0,0,0
20,Exist1,0,0,0.09,12,30,0,0,0,0,0,0
21,Exist1,0,0,0.09,14,5.2,0,0,0,0,0,0
22,Exist1,0,0,0.09,14,30,0,0,0,0,0,0
23,Exist1,0,0,0.09,18,5.2,0,0,0,0,0,0
24,Exist1,0,0,0.09,18,30,0,0,0,0,0,0
25,Exist1,0,0,0.09,20,5.2,0,0,0,0,0,0
26,Exist1,0,0,0.09,20,30,0,0,0,0,0,0
27,Exist1,0,0,0.09,22,5.2,0,0,0,0,0,0
28,Exist1,0,0,0.09,22,30,0,0,0,0,0,0
29,Exist1,0,0,0.09,24,5.2,0,0,0,0,0,0
30,Exist1,0,0,0.09,24,30,0,0,0,0,0,0
31,Exist1,0,0,0.09,26,5.2,0,0,0,0,0,0
32,Exist1,0,0,0.09,26,30,0,0,0,0,0,0
33,Exist1,0,0,0.135,10,5.2,0,0,0,0,0,0
34,Exist1,0,0,0.135,10,30,0,0,0,0,0,0
35,Exist1,0,0,0.135,12,5.2,0,0,0,0,0,0
36,Exist1,0,0,0.135,12,30,0,0,0,0,0,0
37,Exist1,0,0,0.135,14,5.2,0,0,0,0,0,0
38,Exist1,0,0,0.135,14,30,0,0,0,0,0,0
39,Exist1,0,0,0.135,18,5.2,0,0,0,0,0,0
40,Exist1,0,0,0.135,18,30,0,0,0,0,0,0
41,Exist1,0,0,0.135,20,5.2,0,0,0,0,0,0
42,Exist1,0,0,0.135,20,30,0,0,0,0,0,0
43,Exist1,0,0,0.135,22,5.2,0,0,0,0,0,0
44,Exist1,0,0,0.135,22,30,0,0,0,0,0,0
45,Exist1,0,0,0.135,24,5.2,0,0,0,0,0,0
46,Exist1,0,0,0.135,24,30,0,0,0,0,0,0
47,Exist1,0,0,0.135,26,5.2,0,0,0,0,0,0
48,Exist1,0,0,0.135,26,30,0,0,0,0,0,0
49,Exist1,0,0,0.081,10,5.2,0,0,0,0,0,0
50,Exist1,0,0,0.081,10,30,0,0,0,0,0,0
51,Exist1,0,0,0.081,12,5.2,0,0,0,0,0,0
52,Exist1,0,0,0.081,12,30,0,0,0,0,0,0
53,Exist1,0,0,0.081,14,5.2,0,0,0,0,0,0
54,Exist1,0,0,0.081,14,30,0,0,0,0,0,0
55,Exist1,0,0,0.081,18,5.2,0,0,0,0,0,0
56,Exist1,0,0,0.081,18,30,0,0,0,0,0,0
57,Exist1,0,0,0.081,20,5.2,0,0,0,0,0,0
58,Exist1,0,0,0.081,20,30,0,0,0,0,0,0
59,Exist1,0,0,0.081,22,5.2,0,0,0,0,0,0
60,Exist1,0,0,0.081,22,30,0,0,0,0,0,0
61,Exist1,0,0,0.081,24,5.2,0,0,0,0,0,0
62,Exist1,0,0,0.081,24,30,0,0,0,0,0,0
63,Exist1,0,0,0.081,26,5.2,0,0,0,0,0,0
64,Exist1,0,0,0.081,26,30,0,0,0,0,0,0
65,Exist1,0,0,0.063,10,5.2,0,0,0,0,0,0
66,Exist1,0,0,0.063,10,30,0,0,0,0,0,0
67,Exist1,0,0,0.063,12,5.2,0,0,0,0,0,0
68,Exist1,0,0,0.063,12,30,0,0,0,0,0,0
69,Exist1,0,0,0.063,14,5.2,0,0,0,0,0,0
70,Exist1,0,0,0.063,14,30,0,0,0,0,0,0
71,Exist1,0,0,0.063,18,5.2,0,0,0,0,0,0
72,Exist1,0,0,0.063,18,30,0,0,0,0,0,0
73,Exist1,0,0,0.063,20,5.2,0,0,0,0,0,0
74,Exist1,0,0,0.063,20,30,0,0,0,0,0,0
