Frame Type,Glazing Cavity,Glazing,Window Code,Door Code
Aluminum (no thermal break),none,Single Glazing,Exist1,Edoor1
Aluminum (no thermal break), 1/4,Double (no low-e),Exist2,Edoor2
Aluminum (no thermal break), 1/4,Double (low-e),Exist3,Edoor3
Aluminum (no thermal break), 1/8,Double (no low-e),Exist4,Edoor4
Aluminum (no thermal break), 1/8,Double (low-e),Exist5,Edoor5
Aluminum (w/ thermal break),none,Single Glazing,Exist11,Edoor6
Aluminum (w/ thermal break), 1/4,Double (no low-e),Exist12,Edoor7
Aluminum (w/ thermal break), 1/4,Double (low-e),Exist13,Edoor8
Aluminum (w/ thermal break), 1/8,Double (no low-e),Exist14,Edoor9
Aluminum (w/ thermal break), 1/8,Double (low-e),Exist15,Edoor10
Wood,none,Single Glazing,Exist21,Edoor11
Wood, 1/4,Double (no low-e),Exist22,Edoor12
Wood, 1/4,Double (low-e),Exist23,Edoor13
Wood, 1/8,Double (no low-e),Exist24,Edoor14
Wood, 1/8,Double (low-e),Exist25,Edoor15
Vinyl,none,Single Glazing,Exist31,Edoor16
Vinyl, 1/4,Double (no low-e),Exist32,Edoor17
Vinyl, 1/4,Double (low-e),Exist33,Edoor18
Vinyl, 1/8,Double (no low-e),Exist34,Edoor19
Vinyl, 1/8,Double (low-e),Exist35,Edoor20
